 sex row_number liters_drunk age drink check_number label
4361 "Не указан" 66.0 27130079 31 Fanta 7334 1
4362 Ж 23.0 5 25 Fanta 9773 0
4363 - 39.0 4 47 "Strong beer" 7082 1
4364 ж 2.0 2 49 Bugbeer 9985 1
4365 - 73.0 1 42 Cola 3884 1
4366 ж 79.0 84506530 19 Cola 3508 0
4367 "Не указан" 7.0 3 66 Water 5722 1
4368 "Не указан" 53.0 3 71 Water 3352 1
4369 Ж 52.0 4 73 Cola 8213 1
4370 M 79.0 5 21 Beerbeer 1040 1
4371 "Не указан" 46.0 2 66 Beerbeer 5811 0
4372 - 99.0 4 26 Fanta 1772 0
4373 ж 54.0 -6 57 Bugbeer 700 0
4374 M 28.0 3 62 Beerbeer 4874 0
4375 м 25.0 4 78 Bugbeer 7888 0
4376 м 87.0 -3 13 Fanta 5988 0
4377 M 30.0 1 12 Fanta 1116 0
4378 M 33.0 1 43 Beerbeer 6543 0
4379 ж 87.0 3 26 Bugbeer 61 1
4380 м 58.0 2 50 Beerbeer 5 1
4381 "Не указан"  3 25 "Strong beer" 2584 1
4382 M 60.0 1 72 Water 6017 0
4383 M 68.0 0 48 Cola 5584 0
4384 - 23.0 4 13 Fanta 7338 0
4385 ж 76.0 4 70 Water 3665 0
4386 ж 68.0 1 77 Beerbeer 1622 1
4387 "Не указан" 22.0 77737618 40 Cola 3856 0
4388 - 94.0 2 70 "Strong beer" 5851 1
4389 "Не указан" 55.0 1 20 Fanta 9247 1
4390 ж 74.0 3 43 "Strong beer" 9179 1
4391 м 55.0 2 42 Bugbeer 5164 0
4392 M 57.0 2 56 Fanta 1484 1
4393 м 34.0 3 56 Beerbeer 5679 0
4394 м 53.0 1 57 Bugbeer 9997 1
4395 ж 80.0 -6 39 Water 5255 0
4396 ж 5.0 0 36 Cola 9886 0
4397 - 50.0 2 77 Water 5564 1
4398 Ж 87.0 4 47 Bugbeer 1738 1
4399 - 1.0 0 45 Bugbeer 6603 0
4400 "Не указан" 77.0 0 39 Cola 4407 0
4401 M 15.0 5 33 Water 756 0
4402 Ж  4 16 Cola 9122 1
4403 M 75.0 3 53 Fanta 7023 0
4404 M 64.0 5 44 Bugbeer 407 1
4405 - 48.0 0 19 Fanta 3069 1
4406 "Не указан" 50.0 1 71 Bugbeer 8152 1
4407 M 74.0 1 71 Bugbeer 21 1
4408 Ж 6.0 -3 18 Cola 6611 1
4409 "Не указан" 77.0 4 57 "Strong beer" 6977 0
4410 "Не указан" 60.0 0 64 "Strong beer" 339 0
4411 ж 37.0 4 18 Fanta 6453 1
4412 м 11.0 3 54 Bugbeer 3281 0
4413 Ж 93.0 4 77 Beerbeer 7584 0
4414 - 67.0 1 52 Fanta 3176 1
4415 - 65.0 4 38 Water 2355 1
4416 "Не указан" 38.0 51600420 48 Water 5282 0
4417 M 31.0 3 68 Fanta 6584 1
4418 M 94.0 2 18 Cola 1975 0
4419 "Не указан" 47.0 4 30 Cola 8887 1
4420 M 2.0 5 68 Water 2252 0
4421 м 63.0 3 33 "Strong beer" 161 1
4422 - 47.0 3 71 "Strong beer" 6602 0
4423 - 49.0 1 59 Beerbeer 6459 0
4424 "Не указан" 72.0 1 35 "Strong beer" 7331 0
4425 - 22.0 3 51 Beerbeer 3421 0
4426 м 90.0 5 20 Water 7014 1
4427 м 85.0 0 73 Cola 6059 1
4428 - 8.0 75232763 18 Cola 6681 1
4429 ж 10.0 1 71 Water 9252 1
4430 - 64.0 0 19 Cola 7855 1
4431 ж 57.0 3442774 71 Water 5269 0
4432 ж  4 56 Water 7892 0
4433 M 88.0 1 43 Bugbeer 9723 0
4434 ж 67.0 1 55 Beerbeer 5533 0
4435 ж 2.0 0 50 "Strong beer" 1860 1
4436 Ж 69.0 0 56 Beerbeer 3121 0
4437 Ж 99.0 0 34 Cola 4466 0
4438 Ж 57.0 2 39 Bugbeer 4594 0
4439 Ж 29.0 2 55 Cola 1139 0
4440 M 33.0 1 75 "Strong beer" 3388 0
4441 Ж 16.0 3 36 Water 596 1
4442 м 28.0 4 21 Beerbeer 3540 1
4443 м 11.0 -4 62 Bugbeer 3083 0
4444 м 44.0 0 76 Bugbeer 9413 1
4445 Ж 24.0 2 54 "Strong beer" 1194 1
4446 Ж 67.0 0 66 Water 5826 0
4447 ж  1 67 Cola 1323 1
4448 "Не указан" 75.0 0 16 Fanta 3901 1
4449 M 34.0 -6 22 "Strong beer" 3657 1
4450 M 77.0 1 10 Fanta 8892 0
4451 Ж 82.0 0 33 Bugbeer 34 0
4452 - 66.0 0 47 Water 9299 0
4453 M 53.0 4 17 Cola 4640 0
4454 "Не указан" 66.0 0 46 Water 6256 0
4455 "Не указан"  5 71 Water 5202 1
4456 Ж 18.0 3 25 Water 2137 0
4457 Ж 51.0 2 17 Water 3013 0
4458 м 74.0 1 47 "Strong beer" 8547 1
4459 M 3.0 5 59 Fanta 2828 1
4460 "Не указан" 27.0 1 20 Cola 2540 1
4461 Ж 47.0 5 80 "Strong beer" 6024 0
4462 Ж 82.0 4 59 Beerbeer 3420 1
4463 "Не указан" 27.0 1 67 Cola 3318 0
4464 Ж 31.0 3 65 Beerbeer 7332 1
4465 -  4 19 Cola 8459 0
4466 M  4 65 Beerbeer 608 1
4467 Ж 88.0 3 16 Fanta 2301 0
4468 Ж 5.0 1 57 Water 1876 1
4469 ж 82.0 4 73 Cola 5356 1
4470 M 13.0 1 20 Cola 9110 0
4471 м 70.0 4 71 Bugbeer 7997 1
4472 ж 13.0 5 32 Bugbeer 1437 1
4473 Ж 30.0 94854272 61 "Strong beer" 1798 1
4474 M 58.0 5 27 "Strong beer" 748 1
4475 ж 35.0 0 67 Bugbeer 8824 0
4476 M 28.0 1 71 Bugbeer 614 0
4477 M 50.0 1 14 Fanta 5080 0
4478 M 95.0 5 15 Water 7151 1
4479 "Не указан" 91.0 -6 63 Water 2163 0
4480 м 100.0 3 18 Cola 181 1
4481 ж 45.0 5 35 Water 3955 0
4482 Ж 26.0 1 73 Water 7348 1
4483 "Не указан" 0.0 0 62 "Strong beer" 8128 1
4484 "Не указан"  -6 48 Cola 6792 1
4485 - 66.0 1 32 Beerbeer 3241 0
4486 м 90.0 5 76 Water 4829 0
4487 - 29.0 1 49 Cola 696 0
4488 - 15.0 2 22 Bugbeer 8117 1
4489 - 32.0 5 41 Beerbeer 8921 1
4490 ж 37.0 98601766 68 "Strong beer" 3451 0
4491 "Не указан" 25.0 3 44 Water 150 0
4492 - 51.0 5 59 Bugbeer 7132 1
4493 Ж 69.0 4 70 Cola 7468 0
4494 M 10.0 3 72 Fanta 5193 0
4495 "Не указан" 57.0 2 14 Water 4695 0
4496 м  3 21 Bugbeer 5246 1
4497 M 65.0 -2 49 Water 5562 0
4498 M 4.0 5 43 Fanta 9742 1
4499 м 1.0 3 24 Cola 8316 0
4500 M 43.0 1 42 Fanta 7745 1
4501 - 1.0 5 56 Beerbeer 8172 1
4502 Ж 75.0 5 72 Cola 5569 1
4503 M 85.0 1 27 "Strong beer" 396 0
4504 "Не указан" 36.0 2 17 Cola 9996 1
4505 ж 33.0 2 79 Bugbeer 3304 0
4506 "Не указан" 58.0 3 62 "Strong beer" 5744 0
4507 M 48.0 4 69 Cola 7568 0
4508 м 89.0 2 40 Beerbeer 5138 0
4509 - 94.0 4 56 Beerbeer 8405 0
4510 M 52.0 5 73 Water 3677 0
4511 ж 95.0 3 46 Beerbeer 2178 1
4512 - 78.0 0 14 Fanta 1680 1
4513 м 26.0 1 38 Cola 6220 1
4514 м 12.0 3 59 Bugbeer 3113 0
4515 ж 70.0 2 57 Water 9806 1
4516 ж 78.0 5 16 Water 9124 1
4517 - 71.0 2 50 Cola 1850 0
4518 ж 94.0 1 41 Cola 4707 1
4519 "Не указан" 69.0 3 31 Cola 5821 0
4520 - 81.0 2 33 Cola 3660 1
4521 "Не указан" 17.0 3 25 Water 7592 1
4522 "Не указан" 45.0 5 27 Water 4036 0
4523 Ж 29.0 3 73 Bugbeer 5737 1
4524 - 75.0 2 64 "Strong beer" 2635 0
4525 м 61.0 0 40 Water 4411 0
4526 "Не указан" 63.0 4 57 Fanta 2692 1
4527 Ж 42.0 3 77 Fanta 3316 1
4528 ж 36.0 1 76 Fanta 3769 1
4529 M 40.0 1 23 Cola 2482 1
4530 -  46968739 21 Water 8581 0
4531 M 33.0 4 38 Beerbeer 6431 1
4532 м 92.0 4 17 Cola 1579 0
4533 м 80.0 3 20 Water 9068 0
4534 ж 39.0 5 12 Fanta 291 1
4535 м 3.0 3 25 Bugbeer 8160 1
4536 - 80.0 2 32 Cola 633 1
4537 - 29.0 4 77 Beerbeer 2344 1
4538 Ж 29.0 87917517 17 Cola 4067 0
4539 ж 1.0 3 58 Bugbeer 6847 0
4540 Ж 27.0 0 36 Cola 5198 1
4541 "Не указан" 30.0 0 31 Water 9700 0
4542 ж 85.0 -1 37 "Strong beer" 5059 1
4543 ж 77.0 2 50 Bugbeer 481 0
4544 Ж 64.0 2 46 Cola 5358 1
4545 - 91.0 3 73 Beerbeer 4649 0
4546 M 42.0 2 79 Bugbeer 2626 0
4547 м 43.0 0 72 "Strong beer" 4093 1
4548 - 6.0 5 74 "Strong beer" 153 0
4549 ж 48.0 -4 11 Water 4819 1
4550 м 82.0 1 23 Cola 4486 1
4551 м 20.0 0 23 Beerbeer 9738 1
4552 M  1 56 "Strong beer" 7980 0
4553 м 95.0 5 46 Water 4660 1
4554 - 72.0 2 15 Fanta 9232 1
4555 "Не указан" 79.0 2 15 Cola 1737 0
4556 -  -1 63 Fanta 3482 1
4557 M 18.0 5 66 Water 436 1
4558 Ж 75.0 3 45 Cola 5029 1
4559 ж 56.0 4 38 Beerbeer 646 1
4560 M 20.0 0 38 Cola 2307 1
4561 Ж 62.0 4 51 Cola 1373 1
4562 M 89.0 4 13 Cola 3603 1
4563 ж 91.0 0 51 Cola 3210 1
4564 M 12.0 0 31 Fanta 3635 1
4565 - 10.0 5 73 "Strong beer" 9367 1
4566 м 41.0 5 61 "Strong beer" 3962 1
4567 "Не указан"  2 37 Cola 8506 1
4568 - 40.0 4 66 Bugbeer 8222 0
4569 ж 25.0 3 21 "Strong beer" 4224 1
4570 "Не указан" 85.0 1 48 "Strong beer" 1434 1
4571 "Не указан" 55.0 0 74 Bugbeer 3351 1
4572 Ж 72.0 2 31 Fanta 8837 1
4573 ж 6.0 1 61 Fanta 3625 0
4574 м 6.0 -6 53 Water 1932 0
4575 "Не указан" 58.0 -1 72 Fanta 4802 1
4576 Ж 62.0 1 72 Cola 9278 1
4577 Ж 56.0 1 59 Fanta 9447 1
4578 Ж 40.0 70803587 23 Beerbeer 7996 0
4579 M 48.0 0 78 Cola 9281 0
4580 M 19.0 4 66 Bugbeer 3312 1
4581 м 2.0 1 44 Beerbeer 1488 1
4582 м 20.0 2 18 Cola 277 1
4583 M 55.0 5 34 Water 5197 0
4584 ж 44.0 2 61 Beerbeer 3883 0
4585 ж 79.0 3 75 Beerbeer 6035 1
4586 - 82.0 1 38 Cola 498 1
4587 - 66.0 5 46 Beerbeer 1349 1
4588 - 82.0 3 32 Bugbeer 8621 1
4589 м 97.0 5 39 Beerbeer 157 1
4590 Ж 46.0 3 52 Beerbeer 2991 0
4591 Ж 72.0 4 40 Bugbeer 3589 1
4592 м 59.0 3 36 "Strong beer" 8655 1
4593 M 88.0 0 31 Bugbeer 5504 1
4594 м 53.0 1 32 Bugbeer 2164 1
4595 м 75.0 0 17 Water 4972 0
4596 Ж 69.0 0 19 Cola 7420 1
4597 ж 57.0 5 55 "Strong beer" 6021 0
4598 Ж 16.0 4 37 Water 3809 1
4599 "Не указан" 74.0 4 16 Fanta 3917 1
4600 - 51.0 4 48 Bugbeer 7108 1
4601 - 92.0 1 49 Bugbeer 1061 0
4602 - 73.0 2 20 Fanta 5285 1
4603 "Не указан" 23.0 0 13 Fanta 9591 0
4604 ж 94.0 1 25 "Strong beer" 3413 1
4605 ж 90.0 5 78 Beerbeer 9678 1
4606 Ж 71.0 1 78 "Strong beer" 1504 1
4607 ж 65.0 5 34 Cola 4284 1
4608 ж 79.0 3 30 Bugbeer 2898 1
4609 "Не указан" 73.0 0 55 Water 410 1
4610 Ж 61.0 0 37 Beerbeer 227 0
4611 M 13.0 3 66 Beerbeer 1296 0
4612 Ж 22.0 4 35 Cola 144 1
4613 м 52.0 4 60 Bugbeer 3659 1
4614 "Не указан" 86.0 5 71 Cola 2534 0
4615 - 27.0 0 20 Water 4812 0
4616 Ж 21.0 4 29 Bugbeer 2782 1
4617 Ж 85.0 3 63 Water 7450 0
4618 "Не указан" 19.0 -4 50 Cola 93 1
4619 ж 30.0 1 62 Water 5326 0
4620 "Не указан" 66.0 4 65 Bugbeer 6862 1
4621 Ж 71.0 -5 68 Beerbeer 4314 1
4622 м  0 50 Beerbeer 8700 0
4623 "Не указан" 42.0 1 69 Water 2465 1
4624 M 44.0 0 65 Beerbeer 8502 1
4625 м 96.0 4 60 Fanta 3219 1
4626 ж 46.0 3 38 "Strong beer" 7477 1
4627 м 43.0 5 24 Bugbeer 1507 1
4628 "Не указан" 70.0 0 58 Water 7188 0
4629 Ж 10.0 3 10 Fanta 6266 1
4630 м 93.0 5 50 "Strong beer" 54 1
4631 Ж 60.0 1 22 Water 2282 0
4632 M 18.0 3 69 Beerbeer 2558 0
4633 M 46.0 -2 40 Water 7725 1
4634 м 28.0 2 46 Water 5909 0
4635 - 19.0 2 10 Cola 8123 1
4636 - 80.0 2 21 "Strong beer" 1971 1
4637 ж 12.0 0 20 Fanta 6901 1
4638 Ж 59.0 0 66 Beerbeer 2549 0
4639 ж 88.0 3 28 Fanta 7570 0
4640 Ж 97.0 4 73 Water 8626 0
4641 Ж 58.0 1 79 Water 9061 1
4642 "Не указан" 38.0 0 75 Fanta 9323 1
4643 м 92.0 4 23 Bugbeer 2979 1
4644 Ж 39.0 5 32 Cola 2194 0
4645 Ж 72.0 3 30 Bugbeer 170 0
4646 м 14.0 4 59 Cola 3415 1
4647 "Не указан" 37.0 0 10 Water 6083 0
4648 ж 75.0 4 42 Fanta 7518 1
4649 -  0 39 Bugbeer 9228 1
4650 M 29.0 55903514 34 Bugbeer 9538 0
4651 M 34.0 1 31 Bugbeer 3155 1
4652 Ж 55.0 2 75 "Strong beer" 6782 0
4653 M 51.0 1 30 "Strong beer" 4027 0
4654 - 9.0 4 30 Fanta 7284 0
4655 "Не указан" 54.0 2 59 Fanta 1459 0
4656 "Не указан" 91.0 -3 20 Fanta 8379 1
4657 "Не указан" 53.0 5 28 Cola 6120 1
4658 Ж 28.0 0 41 Fanta 4019 0
4659 Ж 34.0 4 39 Cola 8208 1
4660 ж 80.0 5 35 Fanta 4587 1
4661 "Не указан" 6.0 81706606 78 Beerbeer 4974 1
4662 - 60.0 70293659 73 "Strong beer" 5529 1
4663 м 49.0 3 46 Fanta 3043 0
4664 M 40.0 0 37 Water 8810 1
4665 м 87.0 63817415 75 Water 4546 1
4666 м 91.0 5 58 Water 5557 1
4667 м 17.0 0 57 Water 4302 0
4668 "Не указан" 4.0 0 75 "Strong beer" 1926 1
4669 м 81.0 0 65 Water 2273 1
4670 ж 49.0 1 46 Fanta 2487 1
4671 ж  4 11 Water 5613 1
4672 M 33.0 46312754 70 Beerbeer 9679 1
4673 M 0.0 5 34 Beerbeer 8378 1
4674 м 36.0 0 52 Water 8473 0
4675 Ж 71.0 3 74 Beerbeer 7597 1
4676 Ж 99.0 4 48 Water 9173 1
4677 "Не указан" 62.0 2 21 "Strong beer" 8466 1
4678 м 27.0 1 54 Fanta 4565 1
4679 м 3.0 4 42 Water 8923 1
4680 м 83.0 4 17 Cola 8759 1
4681 м 64.0 4 35 "Strong beer" 7248 1
4682 м 79.0 2 23 "Strong beer" 9476 0
4683 - 78.0 4 51 Bugbeer 2739 0
4684 м 54.0 5 23 Cola 1074 0
4685 -  1 48 Beerbeer 8987 1
4686 Ж 82.0 1 59 Water 1814 0
4687 "Не указан" 74.0 2 36 Bugbeer 8149 1
4688 Ж 22.0 4750200 80 Fanta 875 0
4689 ж 70.0 1 68 Beerbeer 3325 0
4690 - 42.0 0 20 Fanta 986 1
4691 M 56.0 0 24 "Strong beer" 1186 1
4692 Ж 21.0 3 50 "Strong beer" 2755 1
4693 M 43.0 3 43 Beerbeer 9936 1
4694 M 63.0 2 31 Cola 1432 0
4695 ж 71.0 2 27 Bugbeer 6715 1
4696 м 52.0 1 17 Cola 2259 0
4697 - 53.0 2 38 Beerbeer 9708 1
4698 Ж 40.0 2 21 Bugbeer 7799 1
4699 - 79.0 1 23 Beerbeer 2851 1
4700 м 3.0 0 41 Water 5231 1
4701 - 86.0 3 31 "Strong beer" 229 0
4702 ж 18.0 2 11 Cola 2730 0
4703 м 73.0 4 20 Cola 6093 0
4704 м 85.0 1 57 "Strong beer" 2927 1
4705 - 84.0 -5 60 Cola 4560 1
4706 "Не указан"  3 28 Water 5853 0
4707 ж 60.0 4 12 Cola 8866 1
4708 ж 68.0 0 21 "Strong beer" 1778 1
4709 M 46.0 -4 31 Water 6785 0
4710 ж 40.0 -1 75 "Strong beer" 4475 1
4711 м 38.0 3 25 "Strong beer" 3667 1
4712 Ж 55.0 2 15 Water 528 0
4713 - 50.0 0 77 Fanta 7145 0
4714 м 68.0 1 43 Bugbeer 8806 0
4715 Ж 46.0 0 50 "Strong beer" 2291 1
4716 Ж 6.0 0 33 Cola 2057 0
4717 - 99.0 4 45 Fanta 3124 1
4718 "Не указан" 2.0 4 18 Cola 8829 1
4719 "Не указан" 45.0 5 65 Fanta 2072 0
4720 м 0.0 1 49 Beerbeer 13 0
4721 M 41.0 4 77 "Strong beer" 4747 1
4722 "Не указан" 39.0 4 25 "Strong beer" 4730 1
4723 ж  2 24 Fanta 6553 1
4724 - 61.0 0 55 Bugbeer 8960 0
4725 M 9.0 4 34 Fanta 3706 1
4726 M 23.0 1 53 Fanta 8606 1
4727 - 20.0 2 62 Water 2974 0
4728 M 44.0 0 49 Fanta 9462 0
4729 M 13.0 3 78 Water 2711 0
4730 м 49.0 5 63 Beerbeer 6192 1
4731 ж 77.0 0 54 Beerbeer 2255 1
4732 Ж 41.0 0 15 Fanta 8225 1
4733 "Не указан" 39.0 1 43 "Strong beer" 1197 0
4734 "Не указан" 46.0 3 33 Beerbeer 7313 1
4735 ж 78.0 0 65 Bugbeer 2354 0
4736 - 34.0 4 76 Fanta 6800 0
4737 Ж 6.0 2 39 Cola 8696 1
4738 м 91.0 2 77 "Strong beer" 7576 0
4739 Ж 14.0 2 53 Fanta 2188 1
4740 M 6.0 2 31 Fanta 5874 0
4741 Ж  3 21 "Strong beer" 2725 0
4742 "Не указан" 45.0 5 58 Fanta 698 1
4743 Ж 59.0 2 35 Beerbeer 663 0
4744 м 17.0 1 62 Water 7853 0
4745 - 49.0 1 60 "Strong beer" 3593 1
4746 M 81.0 5 35 Beerbeer 8739 1
4747 ж 22.0 4 33 Fanta 6499 1
4748 "Не указан" 69.0 4 32 Bugbeer 6268 1
4749 "Не указан" 53.0 4 16 Water 4184 1
4750 Ж 80.0 0 68 Bugbeer 5194 1
4751 Ж 10.0 4 58 Bugbeer 847 0
4752 ж 100.0 4 45 Beerbeer 4536 1
4753 ж 46.0 0 36 "Strong beer" 6317 1
4754 Ж 50.0 3 73 "Strong beer" 7130 1
4755 Ж 20.0 5 70 Beerbeer 7103 1
4756 Ж 34.0 2 70 Cola 8000 1
4757 м 83.0 95292252 71 Water 9574 0
4758 - 29.0 -2 22 Beerbeer 6073 1
4759 Ж 44.0 5 42 Beerbeer 2821 1
4760 M 51.0 -4 48 Water 6696 1
4761 Ж 35.0 5 71 Bugbeer 2450 1
4762 "Не указан" 6.0 1 29 Bugbeer 3600 0
4763 - 10.0 1 34 Fanta 9428 0
4764 ж 33.0 0 19 Cola 3544 0
4765 м 91.0 4 76 Bugbeer 1514 1
4766 "Не указан" 56.0 3 52 Fanta 678 1
4767 ж 62.0 2 12 Water 7523 1
4768 ж 83.0 0 79 Cola 6352 1
4769 - 70.0 5 51 Cola 279 0
4770 - 6.0 73233795 69 Fanta 6754 1
4771 ж 93.0 3 58 Bugbeer 2089 0
4772 - 42.0 2 60 Fanta 5331 1
4773 M 62.0 -3 63 Beerbeer 7848 0
4774 м 5.0 2 69 Bugbeer 2381 1
4775 Ж 32.0 1 21 Bugbeer 390 0
4776 - 35.0 2 61 Bugbeer 209 1
4777 ж 5.0 -1 44 "Strong beer" 73 1
4778 M 79.0 3 14 Cola 6508 1
4779 м 21.0 1 43 Water 2881 1
4780 Ж 14.0 5 75 Cola 802 0
4781 M 94.0 2 68 Water 3093 0
4782 Ж  3 49 "Strong beer" 2533 0
4783 ж 7.0 18527313 53 Beerbeer 545 1
4784 - 32.0 1 74 Water 841 1
4785 ж 46.0 0 57 Bugbeer 6022 0
4786 ж  -4 23 Fanta 5171 0
4787 Ж 15.0 1 53 Fanta 7900 0
4788 ж 3.0 20539658 39 Beerbeer 2020 1
4789 Ж 40.0 2 24 Bugbeer 167 0
4790 M 33.0 1 26 Water 4356 1
4791 м 20.0 0 57 Cola 3763 0
4792 Ж 55.0 0 40 Bugbeer 3691 0
4793 ж 28.0 3 17 Cola 1752 1
4794 M 36.0 1 79 Water 3347 1
4795 Ж 79.0 4 30 Water 9347 0
4796 "Не указан" 92.0 85602004 27 "Strong beer" 4511 0
4797 "Не указан" 45.0 46233138 39 Bugbeer 450 1
4798 "Не указан" 24.0 5 35 Beerbeer 7952 1
4799 "Не указан" 28.0 4 65 Beerbeer 7144 0
4800 M 25.0 4 22 Bugbeer 6276 1
4801 - 36.0 3 68 Water 5064 1
4802 - 61.0 2 70 Fanta 7822 0
4803 M 76.0 2 14 Water 6816 1
4804 ж 31.0 0 49 Bugbeer 3191 1
4805 "Не указан" 90.0 0 72 Bugbeer 4589 1
4806 м 58.0 2 24 Cola 5739 1
4807 - 92.0 1 79 "Strong beer" 3987 1
4808 Ж 77.0 0 71 Bugbeer 1874 1
4809 м 55.0 2 27 "Strong beer" 2202 1
4810 "Не указан" 77.0 0 43 Bugbeer 4551 1
4811 "Не указан" 2.0 4 14 Water 25 1
4812 "Не указан" 26.0 0 22 Beerbeer 3978 0
4813 M 20.0 1 72 "Strong beer" 6737 1
4814 M 18.0 5 21 Water 3531 1
4815 ж 83.0 1 45 Water 6398 0
4816 - 23.0 0 55 Bugbeer 8367 0
4817 - 28.0 4 46 Beerbeer 133 1
4818 Ж 91.0 5 58 Water 6384 1
4819 Ж 85.0 3 58 Beerbeer 3656 1
4820 ж 64.0 3 70 "Strong beer" 1882 1
4821 Ж 27.0 1 13 Fanta 1717 1
4822 - 20.0 15947280 76 "Strong beer" 1297 1
4823 ж 35.0 0 25 Beerbeer 6678 1
4824 "Не указан" 72.0 3 35 Bugbeer 7689 1
4825 M 33.0 1 13 Fanta 8320 1
4826 M 83.0 42342999 44 Beerbeer 3863 0
4827 Ж 67.0 5 18 Water 7899 1
4828 "Не указан" 57.0 5 67 Beerbeer 7579 1
4829 - 58.0 1 59 Fanta 4803 1
4830 ж 50.0 0 11 Water 2771 1
4831 - 36.0 0 13 Fanta 6641 1
4832 - 11.0 2 62 Water 7836 1
4833 M 98.0 2 78 Beerbeer 5891 1
4834 M 94.0 2 52 Water 8630 0
4835 Ж 98.0 0 28 "Strong beer" 4428 0
4836 ж 55.0 2 33 Fanta 4644 0
4837 ж 25.0 4 23 Fanta 4675 0
4838 Ж  4 38 Cola 8243 1
4839 ж 54.0 2 57 "Strong beer" 7995 1
4840 "Не указан" 58.0 4 73 Cola 1662 1
4841 Ж 49.0 2 26 Water 236 1
4842 "Не указан" 11.0 1 69 Water 5638 0
4843 M  3 20 Cola 4541 1
4844 - 8.0 5 15 Cola 7337 1
4845 "Не указан" 100.0 0 23 Fanta 9921 1
4846 м 52.0 0 20 Cola 9881 1
4847 "Не указан" 39.0 0 67 Beerbeer 5795 1
4848 Ж 95.0 3 34 Beerbeer 6646 1
4849 ж 26.0 59276872 46 Beerbeer 2883 1
4850 "Не указан" 84.0 0 17 Fanta 4652 0
4851 - 36.0 2 25 Water 6749 0
4852 "Не указан" 67.0 5 39 Water 1844 1
4853 ж 55.0 0 71 "Strong beer" 4020 1
4854 - 30.0 1 40 "Strong beer" 6304 1
4855 м 94.0 3 17 Cola 4824 1
4856 "Не указан" 57.0 2 74 Cola 5063 1
4857 - 56.0 0 44 Cola 4681 1
4858 M 79.0 0 53 Bugbeer 6525 0
4859 M 73.0 2 11 Fanta 5794 1
4860 - 37.0 3 46 "Strong beer" 4901 1
4861 ж 58.0 0 57 Beerbeer 753 1
4862 "Не указан" 99.0 5 54 "Strong beer" 2467 1
4863 м 0.0 51004062 34 Fanta 4573 1
4864 м 99.0 3 35 Beerbeer 4651 1
4865 ж 55.0 2 35 Fanta 6637 1
4866 M 52.0 3 51 "Strong beer" 5699 1
4867 Ж 28.0 0 27 Fanta 9379 1
4868 M 7.0 4 11 Cola 3712 1
4869 M  3 64 Fanta 1063 1
4870 Ж 31.0 5 75 Fanta 5846 1
4871 - 21.0 2 19 Water 7825 0
4872 "Не указан" 2.0 -4 70 Beerbeer 8074 1
4873 Ж 14.0 1 19 Water 2772 1
4874 м 49.0 0 30 Beerbeer 4181 0
4875 "Не указан" 30.0 1 77 Water 6607 1
4876 - 21.0 97318823 80 "Strong beer" 8197 1
4877 ж 87.0 2 60 Beerbeer 5730 0
4878 M 41.0 3 30 Bugbeer 2753 1
4879 Ж 27.0 0 50 Water 9521 1
4880 ж 52.0 5 50 Bugbeer 8941 0
4881 м 60.0 4 62 Beerbeer 4225 0
4882 м 72.0 0 55 Water 8523 1
4883 - 64.0 3 41 Bugbeer 5734 1
4884 M 67.0 1 37 Beerbeer 2664 1
4885 ж 43.0 2 20 Water 9027 1
4886 - 77.0 0 79 Cola 4392 1
4887 м 86.0 3 62 Fanta 8927 1
4888 - 47.0 3 75 Fanta 5878 0
4889 м 13.0 3 77 Water 9200 0
4890 M 25.0 5 65 Bugbeer 708 0
4891 "Не указан" 81.0 4 78 Beerbeer 9261 0
4892 "Не указан" 47.0 4 72 Bugbeer 7455 1
4893 м 99.0 1 44 Fanta 3001 1
4894 "Не указан" 84.0 0 80 Bugbeer 1332 1
4895 "Не указан" 55.0 0 43 Water 6471 1
4896 ж 56.0 4 29 Fanta 3957 1
4897 ж 30.0 189301 24 Water 9913 0
4898 M 82.0 2 57 "Strong beer" 6929 1
4899 M  2 31 Beerbeer 2747 1
4900 ж 42.0 4 56 Water 9681 0
4901 Ж 97.0 1 21 Fanta 3152 0
4902 "Не указан" 91.0 64442153 27 Bugbeer 9959 0
4903 M 86.0 1 14 Water 3128 1
4904 Ж 7.0 0 25 Fanta 6332 0
4905 ж 4.0 5 39 Bugbeer 3147 1
4906 - 64.0 0 44 "Strong beer" 4985 0
4907 - 44.0 0 54 Water 9350 1
4908 M 98.0 2 67 Bugbeer 2589 1
4909 ж 28.0 3 41 Bugbeer 9650 1
4910 ж 20.0 1 80 Bugbeer 3034 1
4911 ж 59.0 4 29 "Strong beer" 6067 1
4912 - 37.0 5 66 Beerbeer 925 0
4913 м 16.0 0 14 Fanta 2143 1
4914 ж 58.0 -3 12 Cola 747 1
4915 м 100.0 1 19 Water 5621 1
4916 "Не указан" 62.0 5 45 "Strong beer" 9614 1
4917 M 48.0 5 78 Bugbeer 779 1
4918 м 9.0 0 58 "Strong beer" 7770 1
4919 "Не указан" 80.0 1 10 Fanta 1025 1
4920 ж 5.0 1 11 Fanta 6850 1
4921 M 99.0 0 30 Beerbeer 4417 0
4922 м 63.0 4 20 Cola 5090 1
4923 Ж 70.0 1 47 Water 820 0
4924 ж 92.0 3 66 Fanta 8448 1
4925 м 93.0 2 18 Water 3242 1
4926 ж 0.0 1 76 Fanta 8261 1
